threshold,precision,recall,f1,predicted_failures,true_positives,false_positives,true_negatives,false_negatives
0.26,0.17195767195767195,0.9558823529411765,0.29147982062780264,378,65,313,1619,3
0.27,0.1780821917808219,0.9558823529411765,0.3002309468822171,365,65,300,1632,3
0.28,0.18361581920903955,0.9558823529411765,0.3080568720379147,354,65,289,1643,3
0.29000000000000004,0.18840579710144928,0.9558823529411765,0.3147699757869249,345,65,280,1652,3
0.3,0.19402985074626866,0.9558823529411765,0.3225806451612903,335,65,270,1662,3
0.31,0.20186335403726707,0.9558823529411765,0.33333333333333337,322,65,257,1675,3
0.32,0.20253164556962025,0.9411764705882353,0.33333333333333337,316,64,252,1680,4
0.33,0.2098360655737705,0.9411764705882353,0.34316353887399464,305,64,241,1691,4
0.34,0.21621621621621623,0.9411764705882353,0.3516483516483517,296,64,232,1700,4
0.35000000000000003,0.21993127147766323,0.9411764705882353,0.3565459610027855,291,64,227,1705,4
0.36000000000000004,0.22535211267605634,0.9411764705882353,0.36363636363636365,284,64,220,1712,4
0.37,0.22826086956521738,0.9264705882352942,0.3662790697674419,276,63,213,1719,5
0.38,0.23220973782771537,0.9117647058823529,0.3701492537313433,267,62,205,1727,6
0.39,0.2366412213740458,0.9117647058823529,0.3757575757575758,262,62,200,1732,6
0.4,0.24124513618677043,0.9117647058823529,0.38153846153846155,257,62,195,1737,6
0.41000000000000003,0.2421875,0.9117647058823529,0.3827160493827161,256,62,194,1738,6
0.42000000000000004,0.2450592885375494,0.9117647058823529,0.3862928348909657,253,62,191,1741,6
0.43,0.2530612244897959,0.9117647058823529,0.3961661341853035,245,62,183,1749,6
0.44,0.2605042016806723,0.9117647058823529,0.40522875816993464,238,62,176,1756,6
0.45,0.2672413793103448,0.9117647058823529,0.4133333333333333,232,62,170,1762,6
0.46,0.27927927927927926,0.9117647058823529,0.42758620689655175,222,62,160,1772,6
0.47000000000000003,0.2857142857142857,0.9117647058823529,0.4350877192982456,217,62,155,1777,6
0.48000000000000004,0.30097087378640774,0.9117647058823529,0.45255474452554745,206,62,144,1788,6
0.49,0.31443298969072164,0.8970588235294118,0.465648854961832,194,61,133,1799,7
